違反槍砲彈藥刀械管制條例概況,發生數(件) / 新北市 ,發生數(件) / 臺北市 ,發生數(件) / 桃園市 ,發生數(件) / 臺中市 ,發生數(件) / 臺南市 ,發生數(件) / 高雄市 ,發生數(件) / 臺灣省 ,發生數(件) / 福建省 ,破獲數(件) / 新北市 ,破獲數(件) / 臺北市 ,破獲數(件) / 桃園市 ,破獲數(件) / 臺中市 ,破獲數(件) / 臺南市 ,破獲數(件) / 高雄市 ,破獲數(件) / 臺灣省 ,破獲數(件) / 福建省 
105年 2月,9,5,6,8,10,10,36,         －,8,6,2,12,8,11,37,         －
105年 3月,25,5,13,15,7,12,26,         －,19,10,12,19,6,14,22,         －
105年 4月,27,7,14,11,11,10,42,         －,25,10,7,19,10,13,38,         －
105年 5月,30,13,18,18,14,19,62,1,24,22,11,27,10,22,57,1
105年 6月,20,10,10,9,13,18,26,         －,19,14,7,12,11,21,23,         －
105年 7月,26,9,20,8,13,15,73,         －,27,17,10,16,13,16,65,         －
105年 8月,23,7,17,18,16,18,44,         －,20,16,9,25,14,19,41,         －
105年 9月,23,8,11,12,9,12,55,         －,23,11,6,17,11,13,49,         －
105年 10月,34,11,13,6,6,16,34,         －,34,13,11,8,7,17,30,         －
105年 11月,29,8,11,15,15,18,53,         －,23,18,7,21,9,18,49,         －
105年 12月,17,8,5,11,6,15,37,         －,15,12,2,12,3,15,37,         －
106年,338,116,176,115,155,203,604,6,290,204,127,147,160,202,568,9
106年 1月,26,6,15,6,13,11,56,         －,22,16,9,10,12,9,52,         －
106年 2月,25,8,10,8,8,15,48,         －,18,14,9,9,10,16,48,         －
106年 3月,28,8,14,12,14,23,55,         －,25,15,11,16,16,20,52,         －
106年 4月,33,11,17,6,8,13,44,1,26,22,10,11,9,15,39,2
106年 5月,35,10,15,14,16,20,46,         －,30,21,10,17,18,17,41,         －
106年 6月,25,13,11,9,12,12,45,         －,26,20,4,7,12,14,44,         －
106年 7月,36,6,14,8,17,12,53,2,34,9,8,10,16,15,54,2
106年 8月,23,14,20,12,11,24,59,1,18,18,20,15,10,25,57,1
106年 9月,23,14,21,14,15,23,66,         －,20,18,16,22,15,19,63,1
106年 10月,35,13,13,10,17,23,46,1,29,23,9,12,18,25,40,2
106年 11月,23,6,15,10,15,17,50,         －,18,18,13,10,16,16,42,         －
106年 12月,26,7,11,6,9,10,36,1,24,10,8,8,8,11,36,1
107年,255,123,183,121,121,175,535,3,218,193,151,154,111,174,510,4
107年 1月,25,11,29,20,9,14,52,         －,23,22,20,23,8,14,50,         －
107年 2月,20,6,10,14,9,8,40,         －,18,12,11,16,7,11,32,         －
107年 3月,23,14,21,9,8,20,74,         －,17,18,21,14,8,22,69,1
107年 4月,22,11,17,8,9,17,52,         －,23,13,11,12,9,19,52,         －
107年 5月,38,7,14,9,10,23,51,         －,33,14,11,11,12,23,47,         －
107年 6月,16,12,14,8,8,10,28,         －,14,17,12,7,7,10,29,         －
107年 7月,14,6,17,9,14,16,56,1,12,12,15,14,10,14,56,1
107年 8月,30,10,10,7,16,7,36,1,27,16,8,9,14,7,35,1
107年 9月,19,12,17,9,10,18,50,         －,16,17,11,18,8,17,47,         －
107年 10月,15,9,15,14,9,16,37,         －,11,13,14,17,7,16,36,         －
107年 11月,19,13,10,7,8,13,26,1,11,21,9,7,8,10,26,1
107年 12月,14,12,9,7,11,13,33,         －,13,18,8,6,13,11,31,         －
108年,228,117,179,97,114,140,513,2,186,183,145,116,111,149,489,3
108年 1月,16,9,20,9,12,13,54,         －,15,14,14,13,10,12,56,         －
108年 2月,18,4,10,5,12,9,23,1,15,10,8,5,9,11,22,1
108年 3月,18,13,23,10,9,10,54,         －,18,18,15,16,9,9,53,         －
108年 4月,27,12,7,7,8,13,44,         －,23,18,4,10,7,12,42,         －
108年 5月,24,8,23,6,15,9,43,         －,17,18,19,6,16,11,38,         －
108年 6月,16,6,10,7,9,13,42,1,11,12,2,7,8,13,48,1
108年 7月,19,14,11,7,14,12,46,         －,15,22,7,8,18,11,43,         －
108年 8月,17,12,14,8,6,17,44,         －,16,17,9,9,7,17,41,         －
108年 9月,24,9,11,11,10,12,36,         －,19,14,8,14,9,12,36,1
108年 10月,19,11,30,7,5,11,55,         －,16,14,36,7,7,14,46,         －
108年 11月,14,11,11,11,9,10,43,         －,8,14,16,12,8,13,35,         －
108年 12月,16,8,9,9,5,11,29,         －,13,12,7,9,3,14,29,         －
109年,254,113,164,105,115,115,497,2,208,173,147,133,113,127,452,4
109年 1月,13,7,11,10,7,12,29,         －,11,10,9,14,6,9,29,         －
109年 2月,14,12,19,5,6,15,49,         －,11,16,18,9,6,15,45,         －
109年 3月,28,11,15,10,18,6,34,         －,23,15,14,14,20,10,30,         －
109年 4月,22,15,15,12,10,10,62,1,14,24,15,16,9,12,56,1
109年 5月,26,8,8,7,7,10,41,         －,19,14,6,8,9,10,41,         －
109年 6月,25,7,18,8,9,12,39,1,27,8,14,12,9,11,33,1
109年 7月,21,14,8,8,10,8,50,         －,18,21,8,6,12,8,44,1
109年 8月,21,4,16,9,13,8,40,         －,14,14,13,9,12,13,34,         －
109年 9月,25,7,13,14,8,10,47,         －,22,11,11,15,7,13,44,         －
109年 10月,17,10,13,6,10,7,31,         －,11,16,10,8,8,9,29,1
109年 11月,25,8,15,11,9,12,37,         －,26,11,14,12,7,13,35,         －
109年 12月,17,10,13,5,8,5,38,         －,12,13,15,10,8,4,32,         －
110年,199,83,151,91,79,136,387,1,159,121,145,111,83,129,365,1
110年 1月,14,7,23,9,4,7,29,1,11,9,25,8,5,10,26,1
110年 2月,18,7,16,10,12,13,25,         －,17,10,14,10,12,11,27,         －
110年 3月,21,4,11,5,12,13,37,         －,18,8,13,6,11,14,33,         －
110年 4月,17,13,16,6,6,12,37,         －,19,12,12,10,7,10,34,         －
110年 5月,20,6,10,7,3,13,34,         －,14,11,8,8,6,12,33,         －
110年 6月,7,         －,2,9,5,9,25,         －,4,2,2,10,4,9,25,         －
110年 7月,13,4,6,4,7,11,29,         －,10,7,5,6,8,11,24,         －
110年 8月,14,4,15,6,4,14,28,         －,13,5,16,7,4,12,27,         －
110年 9月,21,10,16,13,7,6,40,         －,14,12,16,13,8,6,41,         －
110年 10月,27,9,16,8,8,14,38,         －,21,14,14,12,9,10,36,         －
110年 11月,10,12,8,7,6,15,36,         －,7,18,8,10,6,15,33,         －
110年 12月,17,7,12,7,5,9,29,         －,11,13,12,11,3,9,26,         －
111年<br>(1月至2月),28,15,32,18,17,21,62,         －,21,20,28,20,18,21,63,         －
111年 1月,14,9,20,9,10,17,34,         －,9,11,20,9,11,16,34,         －
111年 2月,14,6,12,9,7,4,28,         －,12,9,8,11,7,5,29,         －
